f
0.770,-0.399,-1.394
0.949,-0.244,-1.196
0.711,-0.613,-1.487
1.121,-0.555,-1.558
1.163,-0.649,-1.772
1.084,-0.996,-2.185
1.524,-0.773,-2.408
1.351,-1.399,-2.084
-0.313,1.113,0.858
4.000,4.000,1.458
0.913,0.704,0.148
0.102,0.187,0.029
-0.181,-0.856,-0.066
0.165,-0.533,-0.131
-0.125,-0.394,-0.459
-0.330,-0.050,0.262
0.126,-0.648,-0.150
0.529,-1.369,0.242
0.780,-1.917,-0.036
0.470,-1.785,-0.181
0.512,-1.694,-0.105
0.444,-1.182,0.277
-0.011,-1.005,0.612
0.006,-0.507,0.567
-0.527,-0.680,0.505
-0.059,-0.551,0.617
-0.155,-0.805,0.434
-0.158,-0.740,0.544
-0.146,-1.024,0.326
-0.065,-0.915,0.626
-0.091,-1.180,0.401
-0.194,-0.974,0.758
0.142,-1.169,0.554
0.212,-1.038,0.567
0.013,-1.068,0.421
0.061,-1.017,0.573
-0.025,-1.012,0.442
-0.382,-0.968,0.556
-0.207,-0.934,0.668
-0.320,-0.983,0.517
-0.306,-0.871,0.750
-0.269,-0.875,0.683
-0.562,-0.896,0.727
-0.395,-0.785,0.760
-0.234,-0.714,0.656
-0.330,-0.683,0.652
-0.354,-0.678,0.636
-0.369,-0.692,0.610
-0.339,-0.661,0.619
-0.278,-0.593,0.685
-0.284,-0.547,0.838
-0.349,-0.638,0.744
-0.464,-0.610,0.760
-0.568,-0.564,0.645
-0.568,-0.639,0.651
-0.585,-0.591,0.647
-0.616,-0.687,0.603
-0.549,-0.597,0.582
-0.877,-0.600,0.441
-0.771,-0.575,0.541
-0.533,-0.571,0.620
-0.488,-0.552,0.615
-0.353,-0.548,0.762
-0.410,-0.586,0.657
-0.455,-0.587,0.655
-0.538,-0.583,0.673
-0.631,-0.582,0.664
-0.598,-0.521,0.630
-0.578,-0.500,0.688
-0.490,-0.551,0.709
-0.469,-0.565,0.702
-0.452,-0.579,0.705
-0.493,-0.543,0.734
-0.434,-0.570,0.692
-0.451,-0.596,0.686
-0.448,-0.640,0.672
-0.340,-0.642,0.680
-0.382,-0.682,0.630
-0.368,-0.631,0.698
-0.313,-0.686,0.663
-0.378,-0.699,0.701
-0.353,-0.723,0.602
-0.315,-0.693,0.695
-0.350,-0.746,0.627
-0.357,-0.763,0.553
-0.373,-0.794,0.575
-0.436,-0.783,0.560
-0.423,-0.767,0.613
-0.478,-0.771,0.667
-0.386,-0.751,0.601
-0.415,-0.737,0.626
-0.510,-0.707,0.622
-0.456,-0.685,0.615
-0.316,-0.686,0.609
-0.580,-0.677,0.664
-0.403,-0.667,0.626
-0.398,-0.650,0.665
-0.475,-0.643,0.607
-0.362,-0.602,0.671
-0.512,-0.532,0.784

f
-0.288,-0.662,1.680
-0.106,-0.488,2.013
0.074,-0.475,1.738
-0.303,-0.353,1.464
0.151,-0.322,1.064
0.233,-0.485,0.395
0.181,-0.417,0.310
0.496,-0.460,-0.412
0.562,-0.354,-0.789
0.701,-0.311,-1.019
0.903,-0.450,-1.299
0.914,-0.367,-1.350
0.919,-0.612,-1.562
1.043,-0.595,-1.663
0.726,-0.956,-2.053
1.500,-0.925,-2.757
1.594,-1.145,-1.903
-0.269,-1.444,-0.552
2.389,4.000,2.042
-1.129,2.982,-0.045
-2.347,0.016,0.547
0.488,-0.827,0.332
-0.498,0.120,0.337
0.004,-0.133,-0.398
-0.479,-0.008,0.031
0.263,-0.335,-0.571
0.289,-0.904,-0.390
0.907,-1.820,-0.763
0.335,-1.630,-0.476
0.497,-1.372,-0.423
0.268,-1.053,-0.089
-0.053,-1.000,0.172
0.346,-1.022,-0.072
-0.695,-1.217,0.062
0.081,-1.257,0.245
-0.627,-1.202,0.167
-0.152,-1.334,0.485
0.070,-1.249,0.529
-0.431,-1.195,0.592
-0.173,-1.027,0.794
-0.302,-1.081,0.569
-0.242,-1.062,0.605
-0.200,-1.045,0.498
-0.137,-0.958,0.503
-0.197,-0.897,0.471
-0.181,-0.750,0.494
-0.146,-0.790,0.458
-0.223,-0.829,0.478
-0.189,-0.875,0.468
-0.285,-0.904,0.471
-0.265,-0.857,0.479
-0.183,-0.799,0.498
-0.229,-0.779,0.533
-0.365,-0.767,0.520
-0.241,-0.856,0.546
-0.258,-0.846,0.592
-0.268,-0.857,0.617
-0.241,-0.806,0.647
-0.295,-0.773,0.623
-0.220,-0.786,0.538
-0.358,-0.734,0.571
-0.308,-0.687,0.598
-0.328,-0.655,0.575
-0.359,-0.663,0.738
-0.301,-0.690,0.666
-0.436,-0.671,0.741
-0.410,-0.684,0.704
-0.435,-0.735,0.694
-0.435,-0.679,0.760
-0.455,-0.681,0.694
-0.438,-0.602,0.743
-0.441,-0.638,0.728
-0.538,-0.561,0.711
-0.450,-0.521,0.831
-0.440,-0.513,0.772
-0.443,-0.451,0.864
-0.426,-0.454,0.793
-0.455,-0.434,0.829
-0.446,-0.450,0.829
-0.446,-0.491,0.831
-0.381,-0.521,0.796
-0.393,-0.502,0.805
-0.380,-0.496,0.793
-0.427,-0.493,0.813
-0.457,-0.501,0.759
-0.385,-0.495,0.778
-0.424,-0.504,0.743
-0.381,-0.492,0.747
-0.346,-0.503,0.766
-0.460,-0.483,0.756
-0.392,-0.469,0.832
-0.505,-0.468,0.774
-0.394,-0.472,0.823
-0.307,-0.483,0.788
-0.409,-0.461,0.823
-0.425,-0.478,0.839
-0.417,-0.534,0.807
-0.432,-0.539,0.879
-0.403,-0.528,0.841
-0.412,-0.501,0.883


f
0.685,-0.351,-1.592
1.219,-0.457,-1.202
1.096,-0.707,-1.628
0.778,-0.867,-1.601
0.944,-1.200,-2.151
1.348,-1.117,-2.117
1.416,-1.897,-2.444
-0.809,0.030,1.887
1.434,4.000,-0.372
-2.134,1.458,1.400
1.563,-0.620,-0.805
-0.476,-0.181,0.555
0.383,-0.344,-0.465
-0.381,0.142,0.173
-0.201,-0.013,-0.332
0.298,-0.308,0.036
0.640,-1.272,-0.336
0.228,-1.512,0.073
0.497,-1.486,-0.179
0.556,-1.429,0.372
0.826,-1.445,0.305
0.445,-1.527,0.126
0.835,-1.042,0.509
0.039,-1.548,0.018
0.637,-1.000,0.551
0.177,-1.234,0.382
-0.158,-1.046,0.646
0.221,-0.993,0.575
0.056,-0.954,0.597
0.013,-0.928,0.696
-0.087,-0.930,0.602
-0.121,-0.886,0.625
-0.131,-0.885,0.600
-0.005,-0.789,0.658
-0.056,-0.855,0.561
-0.016,-0.831,0.616
-0.021,-0.794,0.625
-0.068,-0.814,0.581
0.017,-0.840,0.598
-0.136,-0.776,0.654
0.068,-0.801,0.613
0.003,-0.857,0.560
-0.043,-0.825,0.609
0.074,-0.844,0.561
-0.072,-0.843,0.567
-0.012,-0.844,0.470
-0.029,-0.853,0.416
-0.239,-0.809,0.533
-0.127,-0.822,0.385
-0.123,-0.729,0.632
-0.170,-0.760,0.502
-0.166,-0.759,0.604
-0.296,-0.792,0.646
-0.285,-0.866,0.657
-0.278,-0.868,0.718
-0.403,-0.839,0.750
-0.288,-0.820,0.672
-0.339,-0.736,0.748
-0.363,-0.758,0.677
-0.373,-0.713,0.753
-0.368,-0.736,0.693
